State,Year,Subject,Score
Nebraska,2014,Reading,22.0
Nevada,2014,Reading,21.7
New Hampshire,2014,Reading,24.5
New Jersey,2014,Reading,23.1
New Mexico,2014,Reading,20.5
New York,2014,Reading,23.6
North Carolina,2014,Reading,19.0
North Dakota,2014,Reading,20.8
Ohio,2014,Reading,22.4
Oklahoma,2014,Reading,21.5
Oregon,2014,Reading,21.9
Pennsylvania,2014,Reading,23.0
Rhode Island,2014,Reading,23.6
South Carolina,2014,Reading,20.9
South Dakota,2014,Reading,22.3
Tennessee,2014,Reading,20.1
Texas,2014,Reading,21.1
Utah,2014,Reading,21.3
Vermont,2014,Reading,23.7
Virginia,2014,Reading,23.4
Washington,2014,Reading,23.4
West Virginia,2014,Reading,21.4
Wisconsin,2014,Reading,22.4
Wyoming,2014,Reading,20.6
Alabama,2014,Science,20.4
Alaska,2014,Science,20.8
Arizona,2014,Science,19.5
Arkansas,2014,Science,20.3
California,2014,Science,21.7
Colorado,2014,Science,20.6
Connecticut,2014,Science,23.6
Delaware,2014,Science,22.9
District of Columbia,2014,Science,21.1
Florida,2014,Science,19.1
Georgia,2014,Science,20.7
Hawaii,2014,Science,18.1
Idaho,2014,Science,22.1
Illinois,2014,Science,20.5
Indiana,2014,Science,21.6
Iowa,2014,Science,22.2
Kansas,2014,Science,21.8
Kentucky,2014,Science,20.0
Louisiana,2014,Science,19.1
Maine,2014,Science,22.8
Maryland,2014,Science,22.2
Massachusetts,2014,Science,23.5
Michigan,2014,Science,20.4
Minnesota,2014,Science,22.9
Mississippi,2014,Science,18.9
Missouri,2014,Science,21.7
Montana,2014,Science,20.4
Nebraska,2014,Science,21.7
Nevada,2014,Science,21.1
New Hampshire,2014,Science,23.6
New Jersey,2014,Science,22.4
New Mexico,2014,Science,20.1
New York,2014,Science,23.2
North Carolina,2014,Science,18.9
North Dakota,2014,Science,20.6
Ohio,2014,Science,22.0
Oklahoma,2014,Science,20.8
Oregon,2014,Science,21.1
Pennsylvania,2014,Science,22.2
Rhode Island,2014,Science,22.0
South Carolina,2014,Science,20.4
South Dakota,2014,Science,22.1
Tennessee,2014,Science,19.6
Texas,2014,Science,21.0
Utah,2014,Science,20.9
Vermont,2014,Science,22.8
Virginia,2014,Science,22.4
Washington,2014,Science,22.7
West Virginia,2014,Science,20.6
Wisconsin,2014,Science,22.3
Wyoming,2014,Science,20.2
Alabama,2015,Composite,19.1
Alaska,2015,Composite,21.1
Arizona,2015,Composite,19.9
Arkansas,2015,Composite,20.4
California,2015,Composite,22.5
Colorado,2015,Composite,20.7
Connecticut,2015,Composite,24.4
Delaware,2015,Composite,23.5
District of Columbia,2015,Composite,21.1
Florida,2015,Composite,19.9
Georgia,2015,Composite,21.0
Hawaii,2015,Composite,18.5
Idaho,2015,Composite,22.7
Illinois,2015,Composite,20.7
Indiana,2015,Composite,22.1
Iowa,2015,Composite,22.2
Kansas,2015,Composite,21.9
Kentucky,2015,Composite,20.0
Louisiana,2015,Composite,19.4
Maine,2015,Composite,24.2
Maryland,2015,Composite,22.7
Massachusetts,2015,Composite,24.4
Michigan,2015,Composite,20.1
Minnesota,2015,Composite,22.7
Mississippi,2015,Composite,19.0
Missouri,2015,Composite,21.7
Montana,2015,Composite,20.4
Nebraska,2015,Composite,21.5
Nevada,2015,Composite,21.0
New Hampshire,2015,Composite,24.3
New Jersey,2015,Composite,23.2
New Mexico,2015,Composite,20.1
New York,2015,Composite,23.7
North Carolina,2015,Composite,19.0
North Dakota,2015,Composite,20.6
Ohio,2015,Composite,22.0
Oklahoma,2015,Composite,20.7
Oregon,2015,Composite,21.5
